"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Map to Escherichia coli CFT073"	"Accession-1"	"Accession-1"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10566"	"b1613"	1688576	1689751	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=MANNPISOM-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2005"	"b1613"	"b1613"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7468"	"b2848"	2989304	2989786	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7468-MONOMER"	""	"b2848"	"b2848"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10413"	"b3779"	3962745	3964229	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PPPGPPHYDRO-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4699"	"b3779"	"b3779"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10290"	"b4287"	4510690	4511457	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FECE-MONOMER"	""	"b4287"	"b4287"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12411"	"b2040"	2111077	2111976	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=DTDPDEHYRHAMREDUCT-MONOMER"	""	"b2040"	"b2040"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10468"	"b0972"	1032139	1033257	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=HYAA-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1113"	"b0972"	"b0972"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7015"	"b1843"	1925440	1926096	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7015-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2253"	"b1843"	"b1843"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11971"	"b2393"	2513042	2514244	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=NUPC-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2932"	"b2393"	"b2393"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10053"	"b0063"	68348	70048	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=RIBULOKIN-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0075"	"b0063"	"b0063"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6273"	"b0502"	529645	530016	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6273-MONOMER"	""	"b0502"	"b0502"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11789"	"b2051"	2125743	2126222	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=GDPMANMANHYDRO-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2577"	"b2051"	"b2051"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6742"	"b1431"	1502457	1503125	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6742-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1856"	"b1431"	"b1431"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10994"	"b1238"	1293527	1294144	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=TDK-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1703"	"b1238"	"b1238"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6423"	"b0820"	855963	857555	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6423-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0906"	"b0820"	"b0820"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11060"	"b0480"	504914	506566	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=USHA-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0600"	"b0480"	"b0480"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11227"	"b1474"	1547401	1550448	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FDNG-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5623"	"b1474"	"b1474"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6354"	"b0647"	678852	679406	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6354-MONOMER"	""	"b0647"	"b0647"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10810"	"b2780"	2908029	2909666	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=CTPSYN-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3345"	"b2780"	"b2780"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=M009"	"b2538"	2669032	2670393	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PHENYLPRODIOXY-MONOMER"	""	"b2538"	"b2538"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11181"	"b3337"	3466797	3466991	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11181-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4108"	"b3337"	"b3337"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10161"	"b2049"	2123084	2124520	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=MANNPGUANYLTRANGDP-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2575"	"b2049"	"b2049"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12448"	"b0567"	587091	587981	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12448-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0653"	"b0567"	"b0567"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10223"	"b0840"	881976	882734	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PD01196"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0925"	"b0840"	"b0840"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12275"	"b3567"	3732201	3733742	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=XYLG-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4387"	"b3567"	"b3567"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12412"	"b2041"	2111976	2113061	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=DTDPGLUCDEHYDRAT-MONOMER"	""	"b2041"	"b2041"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10318"	"b0684"	710935	711465	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=OX-FLAVODOXIN1" // "HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FLAVODOXIN1-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0771"	"b0684"	"b0684"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11882"	"b3937"	4127286	4127894	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11882-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4890"	"b3937"	"b3937"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11700"	"b0751"	783166	783885	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PNUC-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0826"	"b0751"	"b0751"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6710"	"b1389"	1454868	1455155	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6710-MONOMER"	""	"b1389"	"b1389"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11889"	"b3507"	3654683	3655213	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11889-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4306"	"b3507"	"b3507"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11978"	"b2039"	2110138	2111019	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=DTDPGLUCOSEPP-MONOMER"	""	"b2039"	"b2039"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11464"	"b3817"	4002419	4002799	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11464-MONOMER"	""	"b3817"	"b3817"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10835"	"b2784"	2911417	2913651	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=RELA-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3347"	"b2784"	"b2784"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10771"	"b2677"	2804815	2806017	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PROV-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3230"	"b2677"	"b2677"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6390"	"b0747"	781147	781222	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=RNA0-301"	""	"b0747"	"b0747"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10932"	"b0724"	757689	758405	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=SDH-FE-S"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0802"	"b0724"	"b0724"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7861"	"b4199"	4424516	4424791	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7861-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5289"	"b4199"	"b4199"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10795"	"b4006"	4205943	4207532	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=AICARTRANSIMPCYCLO-CPLX"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4964"	"b4006"	"b4006"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6094"	"b0186"	209679	211820	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=LDC2-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5140"	"b0186"	"b0186"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7689"	"b3244"	3390583	3392028	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7689-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3999"	"b3244"	"b3244"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30101"	"b3979"	4175754	4175829	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=thrT-tRNA"	""	"b3979"	"b3979"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7349"	"b2583"	2719223	2719921	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7349-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3108"	"b2583"	"b2583"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10220"	"b4383"	4619603	4620826	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PPENTOMUT-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5467"	"b4383"	"b4383"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10678"	"b1247"	1305764	1306768	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=OPPF-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1711"	"b1247"	"b1247"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30058"	"b0673"	697057	697133	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=metT-tRNA"	""	"b0673"	"b0673"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11858"	"b3894"	4082772	4085822	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FDOG-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5623"	"b3894"	"b3894"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6994"	"b1810"	1894133	1894432	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6994-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2214"	"b1810"	"b1810"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10361"	"b2662"	2792735	2794015	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=GABATRANSAM-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3210"	"b2662"	"b2662"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12286"	"b3582"	3749232	3750092	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12286-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4405"	"b3582"	"b3582"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7571"	"b3021"	3167851	3168246	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7571-MONOMER"	""	"b3021"	"b3021"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30042"	"b3797"	3982509	3982585	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=hisR-tRNA"	""	"b3797"	"b3797"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6668"	"b1332"	1397365	1397622	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6668-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1805"	"b1332"	"b1332"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11329"	"b2661"	2791273	2792721	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=SUCCSEMIALDDEHYDROG-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3209"	"b2661"	"b2661"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7341"	"b2547"	2676850	2678361	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=YPHE-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3069"	"b2547"	"b2547"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30024"	"b0206"	228928	229004	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=aspU-tRNA"	""	"b0206"	"b0206"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12656"	"b3028"	3172530	3173111	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12656-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3768"	"b3028"	"b3028"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6331"	"b0602"	635349	636569	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6331-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0690"	"b0602"	"b0602"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12386"	"b2664"	2795674	2796336	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12386-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3212"	"b2664"	"b2664"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11845"	"b3880"	4070515	4071756	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11845-MONOMER"	""	"b3880"	"b3880"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11390"	"b3495"	3640111	3640545	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11390-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4293"	"b3495"	"b3495"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30008"	"b3853"	4037260	4037335	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=charged-alaT-tRNA" // "HTTPS://ecocyc.org/gene?orgid=ECOLI&id=alaT-tRNA"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2989"	"b3853"	"b3853"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12421"	"b0803"	838190	838456	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12421-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0888"	"b0803"	"b0803"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7502"	"b2883"	3025766	3027085	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7502-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3461"	"b2883"	"b2883"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12801"	"b3195"	3339256	3340065	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=YRBF-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3955"	"b3195"	"b3195"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30114"	"b2403"	2521173	2521248	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=valY-tRNA"	""	"b2403"	"b2403"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11801"	"b2994"	3141286	3142989	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=HYBC-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3731"	"b2994"	"b2994"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11807"	"b1847"	1930034	1930390	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11807-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2259"	"b1847"	"b1847"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7293"	"b2463"	2576098	2578377	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=MALIC-NADP-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2988"	"b2463"	"b2463"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10350"	"b2803"	2937468	2938886	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FUCULOKIN-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4280"	"b2803"	"b2803"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6749"	"b1438"	1509508	1509924	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6749-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1862"	"b1438"	"b1438"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30095"	"b2695"	2818553	2818645	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=serV-tRNA"	""	"b2695"	"b2695"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11155"	"b2824"	2962749	2963156	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11155-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C3418"	"b2824"	"b2824"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7040"	"b1932"	2010600	2011079	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7040-MONOMER"	""	"b1932"	"b1932"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11959"	"b4087"	4309448	4310980	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=YJCW-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5093"	"b4087"	"b4087"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30055"	"b0743"	780554	780629	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=lysT-tRNA"	""	"b0743"	"b0743"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10469"	"b0973"	1033254	1035047	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=HYAB-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1114"	"b0973"	"b0973"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7746"	"b3407"	3537385	3539706	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7746-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4184"	"b3407"	"b3407"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG12164"	"b4395"	4633797	4634444	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=PGAM2-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5482"	"b4395"	"b4395"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7723"	"b3371"	3501268	3502290	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7723-MONOMER"	""	"b3371"	"b3371"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6337"	"b0610"	643557	643967	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6337-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0698"	"b0610"	"b0610"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30039"	"b1911"	1992042	1992117	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=glyW-tRNA"	""	"b1911"	"b1911"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7261"	"b2420"	2537749	2538483	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G7261-MONOMER"	""	"b2420"	"b2420"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11699"	"b0755"	786843	787595	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=GPMA-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0831"	"b0755"	"b0755"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10558"	"b4035"	4246784	4247899	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=MALK-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C5005"	"b4035"	"b4035"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30021"	"b1986"	2059851	2059926	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=asnU-tRNA"	""	"b1986"	"b1986"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11228"	"b1475"	1550461	1551345	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=FDNH-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1906"	"b1475"	"b1475"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6955"	"b1760"	1841863	1842135	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6955-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C2161"	"b1760"	"b1760"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11685"	"b3656"	3832219	3834537	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11685-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4489"	"b3656"	"b3656"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6986"	"b1800"	1881912	1882997	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6986-MONOMER"	""	"b1800"	"b1800"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10949"	"b0146"	160782	161486	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG10949-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C0179"	"b0146"	"b0146"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30111"	"b1665"	1746435	1746511	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=valV-tRNA"	""	"b1665"	"b1665"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6624"	"b1195"	1244728	1244982	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6624-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C1645"	"b1195"	"b1195"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11517"	"b3925"	4114569	4115579	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG11517-MONOMER"	"HTTPS://ecocyc.org/gene?orgid=ECOL199310&id=C4877"	"b3925"	"b3925"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=G6800"	"b1513"	1601490	1603025	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=YDEX-MONOMER"	""	"b1513"	"b1513"
"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=EG30092"	"b3658"	3836222	3836316	"HTTPS://ecocyc.org/gene?orgid=ECOLI&id=selC-tRNA"	""	"b3658"	"b3658"
